manufacturer,name,material,shape,printing,concept,notes,asin,image
XVX,ブラック,PBT,XVX,ダブルショット,-,反転カラーあり,B0BXWTXMV5,https://m.media-amazon.com/images/I/41WysdLKjZL._SL160_.jpg
XVX,ホワイト,PBT,XVX,ダブルショット,-,反転カラーあり,B0BXWVZG55,https://m.media-amazon.com/images/I/41rPabQJXML._SL160_.jpg
XVX,ホワイト/パープル,PBT,XVX,ダブルショット,-,反転カラーあり,B0BM4F5H8R,https://m.media-amazon.com/images/I/41OteujAijL._SL160_.jpg
XVX,ホワイト/グリーン,PBT,XVX,ダブルショット,-,反転カラーあり,B0BM4Q3YP4,https://m.media-amazon.com/images/I/41uKVVwmICL._SL160_.jpg
XVX,グレー/ブルー,PBT,XVX,ダブルショット,-,反転カラーあり,B0BCFDZK46,https://m.media-amazon.com/images/I/41mDwODiWML._SL160_.jpg
XVX,ブラック/パープル,PBT,XVX,ダブルショット,-,反転カラーあり,B0C76Z9Q5N,https://m.media-amazon.com/images/I/41RnGg8lUPL._SL160_.jpg
XVX,透明,PC,Cherry,UV印刷,-,-,B0BR4X594K,https://m.media-amazon.com/images/I/51uDeG8fyRL._SL160_.jpg
Ussixchare,Apollo blue,PBT,XDA,昇華印刷,アポロ,-,B0BWLMQ8P1,https://m.media-amazon.com/images/I/41ZYXzFv9eL._SL160_.jpg
Ussixchare,Blue moon,PBT,XDA,昇華印刷,月,ひらがな印字あり,B0BWLHJ2F1,https://m.media-amazon.com/images/I/41jhnfCRceL._SL160_.jpg
Ussixchare,Honey milk,PBT,XDA,昇華印刷,はちみつ/ミルク,ひらがな印字あり,B0BX1QHL1S,https://m.media-amazon.com/images/I/51YMk0Ca2hL._SL160_.jpg
Ussixchare,Marshmallow pink,PBT,XDA,昇華印刷,マシュマロ,-,B0BWLYXRTP,https://m.media-amazon.com/images/I/41xDCMMymdL._SL160_.jpg
Ussixchare,Minimalist white,PBT,XDA,昇華印刷,ミニマリスト,ひらがな印字あり,B0BWM3V8BW,https://m.media-amazon.com/images/I/41sfLC19PQL._SL160_.jpg
Ussixchare,Strange cat white,PBT,XDA,昇華印刷,猫,-,B0BWLZDGL5,https://m.media-amazon.com/images/I/41zQ8+prTvL._SL160_.jpg
Ussixchare,Twilight,PBT,XDA,昇華印刷,黄昏,-,B0BX26NQ8V,https://m.media-amazon.com/images/I/41IneNTS3iL._SL160_.jpg
Ussixchare,Yellow lightning,PBT,XDA,昇華印刷,？,-,B0BWLVRKL3,https://m.media-amazon.com/images/I/41Q4pBpxl6L._SL160_.jpg
Ussixchare,Black pudding,PBT,XDA,？,-,下半分が半透明,B0CBJRB55X,https://m.media-amazon.com/images/I/51RjQrdS1RL._SL160_.jpg
Ussixchare,Forest green,PBT,XDA,昇華印刷,森,-,B0BWM7NDZM,https://m.media-amazon.com/images/I/41EnM28UMDL._SL160_.jpg
Ussixchare,Galaxy black,PBT,XDA,昇華印刷,宇宙,-,B0BWLZ2GJQ,https://m.media-amazon.com/images/I/41MO7WFo89L._SL160_.jpg
Ussixchare,Heavy industry yellow,PBT,XDA,昇華印刷,重工業,-,B0BWLPKF4C,https://m.media-amazon.com/images/I/513I7hIKFsL._SL160_.jpg
Ussixchare,Misty grey,PBT,XDA,昇華印刷,霧,,B0BWLKF8GN,https://m.media-amazon.com/images/I/41n6RvpgG9L._SL160_.jpg
通用,ミルクミニマリストホワイトテーマ,PBT,XDA,昇華印刷,ミルク,-,B09S8DQFGK,https://m.media-amazon.com/images/I/51PyTQjlpbL._SL160_.jpg
HYSSP,サーモン,PBT,XDA,-,サーモン,-,B0BBMM5946,https://m.media-amazon.com/images/I/41zVB6oU9fL._SL160_.jpg
HYSSP,シャーク,PBT,Cherry,-,サメ,-,B0BFVTRSKQ,https://m.media-amazon.com/images/I/41xmiURnqTL._SL160_.jpg
HYSSP,抹茶,PBT,XDA,-,抹茶,-,B09ZQPQDR8,https://m.media-amazon.com/images/I/41ksdktJWXL._SL160_.jpg
HYSSP,音波,PBT,Cherry,-,音波,-,B0BG2KB5W8,https://m.media-amazon.com/images/I/41YaiaSWpbL._SL160_.jpg
HYSSP,黒騎士,PBT,Cherry,-,黒騎士,-,B0BJK82C23,https://m.media-amazon.com/images/I/41lY4ZnxEkL._SL160_.jpg
